,EN, RU
Stocks,"Nvidia (NVDA) surged 180% in 2024, driven by booming demand for AI tech and its strong market leadership.",Nvidia (NVDA) выросла на 180% в 2024 году благодаря взрывному спросу на ИИ и устойчивым позициям на рынке.
Forex,EUR/USD rose 5.1% over the past year. It’s one of the most traded and volatile currency pairs — ideal for active traders.,"EUR/USD выросла на 5,1% за последний год. Это одна из самых популярных и волатильных валютных пар — подходит для активной торговли"
Crypto,"Bitcoin (BTC) jumped 135.9% in a year, breaking above $100,000 for the first time. Momentum remains strong.","Биткоин (BTC) подорожал на 135,9% за год и впервые преодолел отметку $100 000. Остается самым сильным на рынке."
Commodities,"Gold climbed 46.5% over the past year, reaching an all-time high of $3,410 in May 2025 — and it’s still rising.","Золото выросло на 46,5% и достигло исторического максимума $3410 в мае 2025 года. Тренд остаётся восходящим."
Index,"Nasdaq gained 28.6% and the S&P 500 23% in 2024, powered by the AI boom and rising tech giants.","Nasdaq вырос на 28,6%, а S&P 500 — на 23% в 2024 году. Основной драйвер — развитие ИИ и рост техсектора."
BUTTON,CONTINUE,Продолжить
,,
Final,,
HL,Check Your Wealth Growth Challenge,Проверьте свою финансовую цель
SHL,Your goal is:,К чему вы стремитесь?
Goal,Buy a house,Купить недвижимость
Goal,Buy a car,Купить автомобиль
Goal,Get married,Создать семью
Goal,Take vacations,Путешествовать
Goal,Save for retirement,Копить на пенсию
Goal,Other,Другое
SHL,"Based on your profile, we estimate that you will be ready to achieve it by:","По нашему прогнозу, вы сможете достичь этой цели к:
"
"Date - Add full calendar, this is just an example","1 January, 2026","1 января 2026
1 февраля 2026
1 марта 2026
1 апреля 2026
1 мая 2026
1 июня 2026
1 июля 2026
1 августа 2026
1 сентября 2026
1 октября 2026
1 ноября 2026
1 декабря 2026"
,,
Final 2 - NEW,Sketch: https://docs.google.com/presentation/d/1fe0dl5bk8ECS066ZR57dPmXnkSThb-ATUhhasCIscJ0/edit?usp=sharing,
HL,Your Step-by-Step Trading Guide Is Ready,Пошаговое руководство по трейдингу ждёт вас
SHL,Your guide’s waiting in the Libertex app—download now and start growing your wealth!,Заберите его в приложении Libertex — скачайте сейчас и начните преумножать свой капитал!
Trust Element,25+ Years in the Market,25+ лет на рынке
Trust Element,3M+ Clients Worldwide,3+ миллиона клиентов по всему миру
Trust Element,24/7 Support,Поддержка 24/7
HL,See What Real Users Say About Us,Что говорят о нас пользователи:
Review,"Libertex’s guide made trading finally click for me. Clear, fast, and super practical, perfect for beginners who want real results
Pavel - New Trader","«Руководство от Libertex помогло мне наконец-то разобраться в трейдинге. Всё чётко, быстро и по делу — идеально для новичков, которые хотят реальных результатов!»  Павел, начинающий трейдер"
Review,"The tools just work. From technical indicators to instant alerts, Libertex helps me spot and act on opportunities faster
Sergei - Part-time Trader",«Инструменты реально работают. В Libertex есть всё — от индикаторов до уведомлений в реальном времени. Они действительно помогают быстрее находить прибыльные возможности и сразу их использовать!» Сергей - трейдер-любитель
HL,Why Libertex™? Try Our Smart Trading Tools,Почему Libertex™? Попробуйте умные инструменты для торговли:
Feature,ChatGPT,ChatGPT
Feature,Trading Signals,Торговые сигналы
Feature,Trading Ideas,Торговые идеи
Feature,Auto-Trading,Автотрейдинг
Feature,Quick Take Profit,Быстрый тейк-профит
Feature,Copy Trading,Копитрейдинг
Button,GET THE GUIDE,Получить гайд
